Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_041320605.1	KOPRI_Aant_1.0	Arenibacter antarcticus	2040469		KCTC 52924T					GCF_041320605.1-RS_2024_11_20	1	1	Complete Genome	19.08.2024		1
GCF_000761155.1	ASM76115v1	Pseudomonas rhizosphaerae	216142		DSM 16299					GCF_000761155.1-RS_2025_03_21	1	1	Complete Genome	01.10.2014		1
GCF_019670125.1	ASM1967012v1	Agarivorans aestuarii	1563703		KCTC 32543					GCF_019670125.1-RS_2025_05_06	1	1	Complete Genome	03.06.2021		1
GCF_030540775.2	ASM3054077v2	Flavivirga abyssicola	3063533		MEBiC07777					GCF_030540775.2-RS_2024_12_13	1	1	Complete Genome	02.02.2024		1
GCF_030549615.1	ASM3054961v1	Stenotrophomonas pigmentata	3055080		610A2					GCF_030549615.1-RS_2024_11_20	1	1	Complete Genome	28.07.2023		1
GCF_027625995.1	ASM2762599v1	Hymenobacter yonginensis	748197		KCTC 22745					GCF_027625995.1-RS_2024_12_13	2	2	Complete Genome	10.01.2023		2
GCF_014489595.1	ASM1448959v1	Paenacidovorax monticola	1926868		KACC 19171					GCF_014489595.1-RS_2024_07_01	1	1	Complete Genome	06.09.2020		1
GCF_017309585.1	ASM1730958v1	Nitrogeniibacter aestuarii	2815343		H1-1-2A					GCF_017309585.1-RS_2024_12_11	2	2	Complete Genome	09.03.2021		2
GCF_021650975.2	ASM2165097v2	Flavobacterium jumunjinense	998845		HME7102					GCF_021650975.2-RS_2024_12_09	2	2	Complete Genome	27.01.2022		2
GCF_004337365.2	ASM433736v2	Rhizosphaericola mali	2545455		B3-10					GCF_004337365.2-RS_2024_12_09	2	2	Complete Genome	02.10.2019		2
GCF_037076465.1	ASM3707646v1	Pectobacterium araliae	3073862		MAFF 302110					GCF_037076465.1-RS_2025_05_12	1	1	Complete Genome	05.04.2024		1
GCF_005166025.1	ASM516602v1	Mangrovivirga cuniculi	2715131		R1DC9					GCF_005166025.1-RS_2024_10_23	1	1	Complete Genome	06.05.2019		1
GCF_019457535.1	ASM1945753v1	Shewanella halotolerans	2864204		FJAT-53555					GCF_019457535.1-RS_2024_06_24	1	1	Complete Genome	06.08.2021		1
GCF_002076895.1	ASM207689v1	Cognaticolwellia beringensis	1967665		NB097-1					GCF_002076895.1-RS_2025_05_03	1	1	Complete Genome	03.04.2017		1
GCF_020715685.1	ASM2071568v1	Dermatobacter hominis	2884263		Kera-3					GCF_020715685.1-RS_2024_09_13	1	1	Complete Genome	02.11.2021		1
GCF_019704135.1	ASM1970413v1	Desulfuromonas versatilis	2802975		NIT-T3					GCF_019704135.1-RS_2024_11_18	1	1	Complete Genome	09.07.2021		1
GCF_043587585.1	ASM4358758v1	Azorhizophilus paspali	69963		ATCC 23833					GCF_043587585.1-RS_2025_03_23	1	1	Complete Genome	24.10.2024		1
GCF_010669285.1	ASM1066928v1	Kineobactrum salinum	2708301		M2					GCF_010669285.1-RS_2024_12_13	1	1	Complete Genome	17.02.2020		1
GCF_041320275.1	Pv4-285_AS6	Mumia qirimensis	3234852		Pv 4-285					GCF_041320275.1-RS_2025_04_07	1	1	Complete Genome	18.08.2024		1
GCF_045862395.1	ASM4586239v1	Marinicellulosiphila megalodicopiae	2724896		TOYAMA8					GCF_045862395.1-RS_2025_04_27	1	1	Complete Genome	05.04.2025		1
GCF_016616095.2	ASM1661609v2	Breznakiella homolactica	2798577		RmG30					GCF_016616095.2-RS_2024_06_14	1	1	Complete Genome	13.09.2021		1
GCF_000214155.1	ASM21415v1	Mycolicibacter sinensis	875328		JDM601					GCF_000214155.1-RS_2025_03_28	1	1	Complete Genome	20.05.2011		1
GCF_014217335.1	ASM1421733v1	Teredinibacter purpureus	2731756		Bs12					GCF_014217335.1-RS_2024_12_11	2	2	Complete Genome	17.08.2020		2
GCF_002951615.1	ASM295161v1	Rahnella sikkimica	1805933		ERMR1:05					GCF_002951615.1-RS_2024_08_12	4	4	Complete Genome	20.02.2018		4
GCF_004322855.1	ASM432285v1	Egibacter rhizosphaerae	1670831		EGI 80759					GCF_004322855.1-RS_2025_03_28	1	1	Complete Genome	03.03.2019		1
GCF_020149935.1	ASM2014993v1	Marinilongibacter aquaticus	2975157		YYF0007					GCF_020149935.1-RS_2024_09_16	1	1	Complete Genome	26.09.2021		1
GCF_041937165.1	UNISA_Eadel_1.0	Enterobacter adelaidei	3142537		ECC3473					GCF_041937165.1-RS_2024_09_17	10	10	Complete Genome	17.09.2024		10
GCF_030490285.1	ASM3049028v1	Methylomonas montana	3058963		MW1					GCF_030490285.1-RS_2024_12_02	1	1	Complete Genome	17.07.2023		1
GCF_001021975.1	ASM102197v1	Chryseobacterium gallinarum	1324352		DSM 27622					GCF_001021975.1-RS_2024_10_22	1	1	Complete Genome	08.06.2015		1
GCF_026651605.1	ASM2665160v1	Alicyclobacillus dauci	1475485		DSM 28700					GCF_026651605.1-RS_2024_12_09	3	3	Complete Genome	05.12.2022		3
GCF_004295645.1	ASM429564v1	Limnobaculum zhutongyuii	2498113		CF-458					GCF_004295645.1-RS_2024_12_09	1	1	Complete Genome	25.02.2019		1
GCF_009708005.2	ASM970800v2	Cellulosimicrobium protaetiae	2587808		BI34					GCF_009708005.2-RS_2025_03_08	2	2	Complete Genome	18.05.2020		2
GCF_015482775.1	ASM1548277v1	Kaustia mangrovi	2593653		R1DC25					GCF_015482775.1-RS_2025_05_05	1	1	Complete Genome	16.11.2020		1
GCF_003990335.1	ASM399033v1	Rheinheimera mangrovi	2498451		LHK132					GCF_003990335.1-RS_2024_12_09	1	1	Complete Genome	02.01.2019		1
GCF_001857945.1	ASM185794v1	Paenibacillus crassostreae	1763538		LPB0068					GCF_001857945.1-RS_2025_03_05	4	4	Complete Genome	31.10.2016		4
GCF_013466985.1	ASM1346698v1	Nocardioides ungokensis	1643322		LMG 28591					GCF_013466985.1-RS_2025_05_05	1	1	Complete Genome	22.07.2020		1
GCF_023923225.1	ASM2392322v1	Ornithinimicrobium faecis	2934158		HY1793					GCF_023923225.1-RS_2025_05_12	1	1	Complete Genome	27.06.2022		1
GCF_019457555.1	ASM1945755v1	Shewanella spartinae	2864205		FJAT-53681					GCF_019457555.1-RS_2024_06_24	1	1	Complete Genome	06.08.2021		1
GCF_010669125.1	ASM1066912v1	Ancylobacter pratisalsi	1745854		DSM 102029					GCF_010669125.1-RS_2025_05_05	2	2	Complete Genome	17.02.2020		2
GCF_013285385.1	ASM1328538v1	Paramixta manurensis	2740817		PD-1					GCF_013285385.1-RS_2024_07_08	2	2	Complete Genome	08.06.2020		2
GCF_900198195.1	Tjejuense_V1	Tenacibaculum jejuense	584609		KCTC 22618(T)					GCF_900198195.1-RS_2024_10_22	1	1	Complete Genome	15.08.2017		1
GCF_006385595.1	ASM638559v1	Luteibacter pinisoli	2589080		MAH-14					GCF_006385595.1-RS_2025_05_04	1	1	Complete Genome	23.06.2019		1
GCF_023101345.1	ASM2310134v1	Hymenobacter sublimis	2933777		5516 S-25					GCF_023101345.1-RS_2024_09_23	3	3	Complete Genome	25.04.2022		3
GCF_029625215.1	ASM2962521v1	Aurantibacillus circumpalustris	3036359		Swamp196					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1	1	Complete Genome	09.04.2023		1
GCF_024360925.2	ASM2436092v2	Methylomonas rapida	2963939		MP1					GCF_024360925.2-RS_2024_12_11	1	1	Complete Genome	15.12.2022		1
GCF_023169965.1	ASM2316996v1	Anaeromyxobacter paludicola	2918171		Red630					GCF_023169965.1-RS_2024_11_18	1	1	Complete Genome	24.02.2022		1
GCF_019884785.1	ASM1988478v1	Crassaminicella profunda	1286698		Ra1766H					GCF_019884785.1-RS_2025_05_06	1	1	Complete Genome	06.09.2021		1
GCF_018459925.1	ASM1845992v1	Nocardioides aquaticus	160826		KCTC 9944					GCF_018459925.1-RS_2025_03_28	1	1	Complete Genome	24.05.2021		1
GCF_026870175.2	ASM2687017v2	Flavobacterium aestivum	3003257					IMCC34774		GCF_026870175.2-RS_2024_06_10	1	1	Complete Genome	07.04.2023		1
GCF_019457655.1	ASM1945765v1	Shewanella rhizosphaerae	2864207		FJAT-53764					GCF_019457655.1-RS_2024_06_24	1	1	Complete Genome	06.08.2021		1
GCF_002749615.1	ASM274961v1	Caulobacter mirabilis	69666		FWC 38					GCF_002749615.1-RS_2025_05_03	1	1	Complete Genome	03.11.2017		1
GCF_010731615.1	ASM1073161v1	Mycolicibacterium insubricum	444597		JCM 16366					GCF_010731615.1-RS_2024_12_09	1	1	Complete Genome	06.02.2020		1
GCF_003627755.1	ASM362775v1	Rhizobium jaguaris	1312183		CCGE525					GCF_003627755.1-RS_2025_05_01	4	4	Complete Genome	09.10.2018		4
GCF_017868935.1	ASM1786893v1	Halomonas sulfidivorans	2733488		MCCC 1A13718					GCF_017868935.1-RS_2025_03_28	1	1	Complete Genome	08.04.2021		1
GCF_003935895.2	ASM393589v2	Scandinavium goeteborgense	1851514		CCUG 66741					GCF_003935895.2-RS_2025_03_29	2	2	Complete Genome	10.06.2020		2
GCF_030863885.1	ASM3086388v1	Paracoccus actinidiae	3064531		M09					GCF_030863885.1-RS_2024_09_07	1	1	Complete Genome	23.08.2023		1
GCF_013003965.1	ASM1300396v1	Usitatibacter rugosus	2732067		0125_3					GCF_013003965.1-RS_2025_05_05	1	1	Complete Genome	10.05.2020		1
GCF_011388215.1	ASM1138821v1	Hydrogenophaga crocea	2716225		BA0156					GCF_011388215.1-RS_2025_03_28	1	1	Complete Genome	17.03.2020		1
GCF_013394655.1	ASM1339465v1	Winogradskyella schleiferi	2686078		Z215					GCF_013394655.1-RS_2024_10_23	1	1	Complete Genome	08.07.2020		1
GCF_008364625.2	ASM836462v2	Enterobacter dykesii	2797506		E1					GCF_008364625.2-RS_2024_06_05	1	1	Complete Genome	06.06.2024		1
GCF_008632455.1	ASM863245v1	Methylomonas rhizoryzae	2608981		GJ1					GCF_008632455.1-RS_2024_12_13	1	1	Complete Genome	22.09.2019		1
GCF_032050975.1	ASM3205097v1	Candidatus Nitrospira allomarina	3020900		VA					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1	1	Complete Genome	27.09.2023		1
GCF_004802635.2	ASM480263v2	Methylocystis heyeri	391905		H2					GCF_004802635.2-RS_2025_05_05	3	3	Complete Genome	20.11.2019		3
GCF_034661235.1	ASM3466123v1	Nocardioides bizhenqiangii	3095076		HM61					GCF_034661235.1-RS_2024_11_20	1	1	Complete Genome	26.12.2023		1
GCF_048270625.1	ASM4827062v1	Bacillus haimaensis	3160967		CSS-39					GCF_048270625.1-RS_2025_03_03	1	1	Complete Genome	05.03.2025		1
GCF_008122265.1	ASM812226v1	Marinobacter fonticola	2603215		CS412					GCF_008122265.1-RS_2024_11_26	1	1	Complete Genome	28.08.2019		1
GCF_030252425.1	ASM3025242v1	Acidisoma cladoniae	3040935		PAMC 29798					GCF_030252425.1-RS_2024_06_24	5	5	Complete Genome	11.06.2023		5
GCF_031326225.1	ASM3132622v1	Undibacterium cyanobacteriorum	3073561		20NA77.5					GCF_031326225.1-RS_2024_09_10	1	1	Complete Genome	11.09.2023		1
GCF_009739515.1	ASM973951v1	Sphingomonas profundi	2681549		LMO-1					GCF_009739515.1-RS_2025_04_05	1	1	Complete Genome	11.12.2019		1
GCF_025837095.1	ASM2583709v1	Rhodococcus sacchari	2962047		Z13					GCF_025837095.1-RS_2025_01_29	1	1	Complete Genome	25.10.2022		1
GCF_027359925.1	ASM2735992v1	Hymenobacter canadensis	2999067		PAMC 29467					GCF_027359925.1-RS_2024_06_24	4	4	Complete Genome	27.12.2022		4
GCF_002844375.1	ASM284437v1	Thalassospira marina	2048283		CSC3H3					GCF_002844375.1-RS_2025_05_03	2	2	Complete Genome	18.12.2017		2
GCF_027474825.1	ASM2747482v2	Maribacter halichondriae	2980554		Hal144					GCF_027474825.1-RS_2025_05_26	1	1	Complete Genome	23.01.2023		1
GCF_002953195.1	ASM295319v1	Mixta gaviniae	665914		DSM 22758					GCF_002953195.1-RS_2025_05_03	1	1	Complete Genome	04.02.2018		1
GCF_019457575.1	ASM1945757v1	Shewanella alkalitolerans	2864209		FJAT-54031					GCF_019457575.1-RS_2024_06_24	1	1	Complete Genome	06.08.2021		1
GCF_004135975.1	ASM413597v1	Solidesulfovibrio carbinolicus	296842		DSM 3852					GCF_004135975.1-RS_2024_12_11	6	6	Complete Genome	04.02.2019		6
GCF_030295425.1	ASM3029542v1	Mesoterricola sediminis	2927980		W786					GCF_030295425.1-RS_2024_10_23	1	1	Complete Genome	18.04.2023		1
GCF_030758455.1	ASM3075845v1	Erwinia pyri	3062598		DE2					GCF_030758455.1-RS_2025_05_19	6	6	Complete Genome	16.08.2023		6
GCF_002158865.1	ASM215886v1	Comamonas serinivorans	1082851		DSM 26136					GCF_002158865.1-RS_2025_03_05	1	1	Complete Genome	30.05.2017		1
GCF_031128465.2	ASM3112846v2	Mariniflexile litorale	3045158		KMM 9835					GCF_031128465.2-RS_2024_08_04	1	1	Complete Genome	04.06.2024		1
GCF_014337925.2	TBRIn3	Roseobacter fucihabitans	1537242		B14					GCF_014337925.2-RS_2024_11_20	6	6	Complete Genome	05.04.2024		6
GCF_002243515.1	ASM224351v1	Tumebacillus algifaecis	1214604		THMBR28					GCF_002243515.1-RS_2024_12_09	1	1	Complete Genome	08.08.2017		1
GCF_027247405.1	ASM2724740v1	Jatrophihabitans cynanchi	2944128		SB3-54					GCF_027247405.1-RS_2024_12_11	1	1	Complete Genome	22.12.2022		1
GCF_019457615.1	ASM1945761v1	Shewanella zhangzhouensis	2864213		FJAT-52072					GCF_019457615.1-RS_2024_06_24	1	1	Complete Genome	06.08.2021		1
GCF_019457495.1	ASM1945749v1	Shewanella aegiceratis	2864203		FJAT-53532					GCF_019457495.1-RS_2024_06_24	1	1	Complete Genome	06.08.2021		1
GCF_016495725.1	ASM1649572v1	Salicibibacter cibarius	2743000		NKC5-3					GCF_016495725.1-RS_2025_05_05	1	1	Complete Genome	05.01.2021		1
GCF_013394595.1	ASM1339459v1	Winogradskyella forsetii	2686077		HL857					GCF_013394595.1-RS_2024_10_23	1	1	Complete Genome	08.07.2020		1
GCF_014250515.1	ASM1425051v1	Hymenobacter sediminicola	2761579		S2-20-2					GCF_014250515.1-RS_2024_06_17	1	1	Complete Genome	19.08.2020		1
GCF_022919115.1	ASM2291911v1	Gracilibacillus caseinilyticus	2932256		SSWR10-1					GCF_022919115.1-RS_2024_08_13	1	1	Complete Genome	12.04.2022		1
GCF_030035605.1	ASM3003560v1	Silvimonas soli	2980100		17.июн					GCF_030035605.1-RS_2025_04_27	1	1	Complete Genome	18.05.2023		1
GCF_010730055.1	ASM1073005v1	Mycobacterium shinjukuense	398694		JCM 14233					GCF_010730055.1-RS_2024_12_16	1	1	Complete Genome	06.02.2020		1
GCF_027111315.2	ASM2711131v2	Flavobacterium limnophilum	3003262		IMCC36791					GCF_027111315.2-RS_2024_06_10	2	2	Complete Genome	07.04.2023		2
GCF_009856625.1	ASM985662v1	Aquitalea denitrificans	519081		5YN1-3					GCF_009856625.1-RS_2025_03_29	1	1	Complete Genome	11.01.2020		1
GCF_900095885.1	Daq1742	Dickeya aquatica	1401087		174/2					GCF_900095885.1-RS_2024_12_13	1	1	Complete Genome	06.08.2018		1
GCF_030503855.1	ASM3050385v2	Marivirga salinarum	3059078					BDSF4-3		GCF_030503855.1-RS_2024_08_30	1	1	Complete Genome	30.08.2023		1
GCF_003008515.1	ASM300851v1	Phreatobacter cathodiphilus	1868589		S-12					GCF_003008515.1-RS_2025_05_03	1	1	Complete Genome	19.03.2018		1
GCF_017868775.1	ASM1786877v1	Billgrantia sulfidoxydans	2733484		MCCC 1A11059					GCF_017868775.1-RS_2025_04_07	1	1	Complete Genome	08.04.2021		1
GCF_029869925.1	ASM2986992v1	Microbulbifer bruguierae	3029061		H12					GCF_029869925.1-RS_2024_12_09	1	1	Complete Genome	25.04.2023		1
GCF_007859655.1	ASM785965v1	Devosia ginsengisoli	400770		Gsoil 520					GCF_007859655.1-RS_2025_05_04	1	1	Complete Genome	07.08.2019		1
GCF_902459535.1	Paraburkholderia_sp_Msb3	Paraburkholderia dioscoreae	2604047		Msb3					GCF_902459535.1-RS_2024_12_09	5	5	Complete Genome	22.10.2019		5
GCF_037076455.1	ASM3707645v1	Desulfoferula mesophila	3058419		12FAK					GCF_037076455.1-RS_2024_06_23	1	1	Complete Genome	05.04.2024		1
GCF_005577435.1	ASM557743v1	Paenibacillus algicola	2565926		HB172198					GCF_005577435.1-RS_2024_12_09	1	1	Complete Genome	22.05.2019		1
GCF_025502585.1	ASM2550258v1	Reichenbachiella agarivorans	2979464		BKB1-1					GCF_025502585.1-RS_2024_12_09	1	1	Complete Genome	30.09.2022		1
GCF_002117105.1	ASM211710v1	Oceanicoccus sagamiensis	716816		NBRC 107125					GCF_002117105.1-RS_2025_03_28	1	1	Complete Genome	02.05.2017		1
GCF_020991065.1	ASM2099106v1	Nocardioides okcheonensis	2894081		MMS20-HV4-12					GCF_020991065.1-RS_2024_12_11	1	1	Complete Genome	28.11.2021		1
GCF_014946775.2	ASM1494677v2	Pectobacterium quasiaquaticum	2774015		A477-S1-J17					GCF_014946775.2-RS_2025_05_30	1	1	Complete Genome	26.05.2022		1
GCF_009746125.1	ASM974612v1	Casimicrobium huifangae	2591109		SJ-1					GCF_009746125.1-RS_2025_03_22	1	1	Complete Genome	13.12.2019		1
GCF_019720755.1	ASM1972075v1	Halosquirtibacter laminarini	3374600		KCTC 25031					GCF_019720755.1-RS_2024_10_24	1	1	Complete Genome	23.08.2021		1
GCF_003382565.3	ASM338256v3	Pectobacterium aquaticum	2204145		A212-S19-A16					GCF_003382565.3-RS_2025_03_31	1	1	Complete Genome	09.11.2021		1
GCF_010726505.1	ASM1072650v1	Mycobacterium novum	2492438		JCM 6391					GCF_010726505.1-RS_2024_12_16	1	1	Complete Genome	06.02.2020		1
GCF_016406105.1	ASM1640610v1	Brevibacillus composti	2796470		FJAT-54423					GCF_016406105.1-RS_2024_12_09	2	2	Complete Genome	27.12.2020		2
GCF_020511155.1	ASM2051115v1	Shewanella glacialimarina	2590884		TZS-4					GCF_020511155.1-RS_2024_11_18	1	1	Complete Genome	15.10.2021		1
GCF_041953405.1	ASM4195340v1	Providencia xihuensis	3342830		SKLX074055					GCF_041953405.1-RS_2024_09_18	1	1	Complete Genome	19.09.2024		1
GCF_014960965.1	ASM1496096v1	Ruania alkalisoli	2779775		RN3S43					GCF_014960965.1-RS_2025_05_05	1	1	Complete Genome	27.10.2020		1
GCF_025264665.1	ASM2526466v1	Edaphobacter flagellatus	1933044		HZ411					GCF_025264665.1-RS_2024_10_11	1	1	Complete Genome	19.09.2022		1
GCF_030717995.2	ASM3071799v2	Methylomarinum roseum	3067653		Ch1-1					GCF_030717995.2-RS_2024_06_13	3	3	Complete Genome	13.06.2024		3
GCF_003429285.1	ASM342928v1	Salinimonas sediminis	2303538		N102					GCF_003429285.1-RS_2024_12_13	1	1	Complete Genome	28.08.2018		1
GCF_020519665.1	ASM2051966v1	Bacillus shivajii	1983719		JCM 32183					GCF_020519665.1-RS_2024_11_18	1	1	Complete Genome	18.10.2021		1
GCF_045277565.1	Asca_1.0	Aliisedimentitalea scapharcae	1524259		KCTC 42119					GCF_045277565.1-RS_2024_11_26	5	5	Complete Genome	26.11.2024		5
GCF_026240635.1	ASM2624063v1	Trichothermofontia sichuanensis B231	2016064		B231					GCF_026240635.1-RS_2024_10_11	1	1	Complete Genome	20.11.2022		1
GCF_013200955.2	ASM1320095v2	Aquipseudomonas campi	2731681		S1-A32-2					GCF_013200955.2-RS_2025_03_28	1	1	Complete Genome	20.07.2020		1
GCF_030440425.1	ASM3044042v1	Microbulbifer spongiae	2944933		MI-G					GCF_030440425.1-RS_2024_07_20	2	2	Complete Genome	12.07.2023		2
GCF_006494815.1	ASM649481v1	Nocardioides sambongensis	2589074		KUDC 5002					GCF_006494815.1-RS_2024_12_11	1	1	Complete Genome	25.06.2019		1
GCF_900465055.1	MORIYA_PRJEB24680v2	Moritella yayanosii	69539		DB21MT 5					GCF_900465055.1-RS_2024_12_13	1	1	Complete Genome	24.06.2018		1
GCF_008000755.1	ASM800075v1	Paradevosia tibetensis	1447062		fig4					GCF_008000755.1-RS_2025_01_26	1	1	Complete Genome	16.08.2019		1
GCF_027625475.1	ASM2762547v1	Sphingomonas abietis	3012344		PAMB 00755					GCF_027625475.1-RS_2024_12_09	1	1	Complete Genome	10.01.2023		1
GCF_042853465.1	ASM4285346v1	Simiduia litorea	1435348		KMM 9504					GCF_042853465.1-RS_2024_11_20	1	1	Complete Genome	13.10.2024		1
GCF_008728635.1	ASM872863v1	Hymenobacter baengnokdamensis	2615203		BRD72					GCF_008728635.1-RS_2024_10_23	1	1	Complete Genome	30.09.2019		1
GCF_001305675.1	ASM130567v1	Gordonia phthalatica	1136941		QH-11					GCF_001305675.1-RS_2025_03_03	1	1	Complete Genome	02.10.2015		1
GCF_004006175.1	ASM400617v1	Parasedimentitalea marina	2483033		W43					GCF_004006175.1-RS_2025_03_29	5	5	Complete Genome	09.01.2019		5
GCF_900095135.1	M36	Proteiniphilum saccharofermentans	1642647		M3/6					GCF_900095135.1-RS_2024_10_22	1	1	Complete Genome	26.01.2017		1
GCF_020886775.1	ASM2088677v1	Sinomonas cyclohexanicum	322009		ATCC 51369					GCF_020886775.1-RS_2024_08_25	1	1	Complete Genome	13.09.2021		1
GCF_038098645.1	ASM3809864v1	Marinobacter metalliresistant	2961995		CuT 6					GCF_038098645.1-RS_2024_09_29	1	1	Complete Genome	17.04.2024		1
GCF_021117425.1	ASM2111742v1	Brevibacterium zhoupengii	2898795		HY170					GCF_021117425.1-RS_2024_10_25	1	1	Complete Genome	08.12.2021		1
GCF_034661175.1	ASM3466117v1	Nocardioides renjunii	3095075		S-34					GCF_034661175.1-RS_2024_11_20	1	1	Complete Genome	26.12.2023		1
GCF_030369675.1	ASM3036967v1	Peteryoungia algae	2919917		SSM4.3					GCF_030369675.1-RS_2024_08_18	1	1	Complete Genome	28.06.2023		1
GCF_010729485.1	ASM1072948v1	Mycolicibacter hiberniae	29314		JCM 13571					GCF_010729485.1-RS_2024_12_09	1	1	Complete Genome	06.02.2020		1
GCF_017569225.1	ASM1756922v1	Pengzhenrongella sicca	2819238		LRZ-2					GCF_017569225.1-RS_2024_11_26	1	1	Complete Genome	23.03.2021		1
GCF_013177455.1	ASM1317745v1	Nocardioides marmotae	2663857		zg-579					GCF_013177455.1-RS_2024_06_17	1	1	Complete Genome	27.05.2020		1
GCF_013376455.1	ASM1337645v1	Desulfolutivibrio sulfodismutans DSM 3696	1121464		DSM 3696					GCF_013376455.1-RS_2024_09_13	2	2	Complete Genome	29.06.2020		2
GCF_006970865.1	ASM697086v1	Rhodoferax sediminis	2509614		CHu59-6-5					GCF_006970865.1-RS_2025_03_28	1	1	Complete Genome	15.07.2019		1
GCF_021391395.1	ASM2139139v1	Sphingomonas cannabina	2899123		DM2-R-LB4					GCF_021391395.1-RS_2024_11_26	1	1	Complete Genome	09.01.2022		1
GCF_030295975.1	ASM3029597v1	Thalassotalea atypica	2054316		JCM 31894					GCF_030295975.1-RS_2024_06_21	1	1	Complete Genome	01.04.2023		1
GCF_003611035.1	ASM361103v1	Cryobacterium soli	2220095		GCJ02					GCF_003611035.1-RS_2025_05_04	1	1	Complete Genome	03.10.2018		1
GCF_001854325.1	ASM185432v1	Cupriavidus malaysiensis	367825		USMAA1020			pure		GCF_001854325.1-RS_2025_03_05	3	3	Complete Genome	26.10.2016		3
GCF_031198435.1	ASM3119843v1	Pleionea litopenaei	3070815		HL-JVS1					GCF_031198435.1-RS_2024_07_07	3	3	Complete Genome	06.09.2023		3
GCF_003024155.1	ASM302415v1	Christiangramia fulva	2126553		SH35					GCF_003024155.1-RS_2025_04_15	1	1	Complete Genome	28.03.2018		1
GCF_011492945.1	ASM1149294v1	Rubrobacter tropicus	2653851		SCSIO 52909					GCF_011492945.1-RS_2024_12_09	2	2	Complete Genome	19.03.2020		2
GCF_041222825.1	ASM4122282v1	Candidatus Thalassolituus haligoni	3100113		BB40					GCF_041222825.1-RS_2024_08_13	1	1	Complete Genome	14.08.2024		1
GCF_029223885.1	ASM2922388v1	Pararhizobium gei	1395951		ZFJT.2T					GCF_029223885.1-RS_2024_06_23	3	3	Complete Genome	16.03.2023		3
GCF_001660485.1	ASM166048v1	Agromyces aureus	453304		AR33					GCF_001660485.1-RS_2025_03_05	1	1	Complete Genome	09.06.2016		1
GCF_011044155.1	ASM1104415v1	Pikeienuella piscinae	2748098		RR4-56					GCF_011044155.1-RS_2025_05_05	1	1	Complete Genome	01.03.2020		1
GCF_009740285.1	ASM974028v1	Phnomibacter ginsenosidimutans	2676868		SB-02					GCF_009740285.1-RS_2025_05_05	1	1	Complete Genome	11.12.2019		1
GCF_019457595.1	ASM1945759v1	Shewanella psychrotolerans	2864206		FJAT-53749					GCF_019457595.1-RS_2024_06_24	1	1	Complete Genome	06.08.2021		1
GCF_014899185.1	ASM1489918v1	Pseudooceanicola spongiae	2613965		HQ09					GCF_014899185.1-RS_2024_12_09	1	1	Complete Genome	20.10.2020		1
GCF_019740355.2	ASM1974035v2	Paracrocinitomix mangrovi	2862509		GM2-3-6-6					GCF_019740355.2-RS_2025_03_08	1	1	Complete Genome	07.02.2022		1
GCF_022807975.1	ASM2280797v1	Abyssalbus ytuae	2926907		MT3330					GCF_022807975.1-RS_2024_08_08	1	1	Complete Genome	02.04.2022		1
GCF_025857195.1	ASM2585719v1	Leisingera thetidis	2930199		BMJM1					GCF_025857195.1-RS_2024_06_24	8	8	Complete Genome	26.10.2022		8
GCF_029277445.1	ASM2927744v1	Pararhizobium qamdonense	3031126		T808					GCF_029277445.1-RS_2024_12_11	5	5	Complete Genome	20.03.2023		5
GCF_039652435.2	ASM3965243v2	Niabella insulamsoli	3144874		N803					GCF_039652435.2-RS_2025_05_14	1	1	Complete Genome	15.05.2025		1
GCF_025136295.1	ASM2513629v1	Aestuariispira ectoiniformans	2775080		SWCN16					GCF_025136295.1-RS_2024_09_24	1	1	Complete Genome	21.01.2021		1
GCF_005155025.1	ASM515502v1	Aquitalea aquatilis	1537400		THG-DN7.12					GCF_005155025.1-RS_2025_05_04	1	1	Complete Genome	06.05.2019		1
GCF_003268655.1	ASM326865v1	Arthrobacter dokdonellae	2211210					rhizosphere		GCF_003268655.1-RS_2025_03_05	2	2	Complete Genome	27.06.2018		2
GCF_003952725.1	ASM395272v1	Georhizobium profundi	2341112		WS11					GCF_003952725.1-RS_2025_05_01	1	1	Complete Genome	18.12.2018		1
GCF_014126825.1	ASM1412682v1	Tomitella gaofuii	2760083		HY172					GCF_014126825.1-RS_2025_03_30	1	1	Complete Genome	10.08.2020		1
GCF_006159205.1	ASM615920v1	Antarcticibacterium flavum	2058175		JB01H24					GCF_006159205.1-RS_2024_12_11	1	1	Complete Genome	10.06.2019		1
GCF_009913235.1	ASM991323v1	Nibribacter ruber	2698458		BT10					GCF_009913235.1-RS_2024_10_23	1	1	Complete Genome	22.01.2020		1
GCF_001263175.1	ASM126317v1	Vulgatibacter incomptus	1391653		DSM 27710					GCF_001263175.1-RS_2025_03_28	1	1	Complete Genome	07.08.2015		1
